,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST,TEAM_EFG,EFG_OPP,TEAM_FG,FG_OPP,TEAM_3P_PCT,3P_PCT_OPP,TEAM_FT_PCT,FT_PCT_OPP,TEAM_FTA,FTA_OPP,TEAM_TOV,TOV_OPP,TEAM_OREB,OREB_OPP,TEAM_DREB,DREB_OPP,TEAM_OFF_RATING,OFF_RATING_OPP,TEAM_AST_TOV,AST_TOV_OPP,TEAM_LAST_3,LAST_3_OPP,LAST_3_H2H,LAST_3_PACE_H2H,LAST_3_EFG_H2H,xFQTP,xFQTP_OPP
3668,22300574,1610612761,TOR,1610612748,MIA,2023-24,41,18,2024-01-17,59,28.1,22.0,28.0,19.0,22.6,21.3,99.8,99.0,29.8,26.5,28.7,20.0,0.5578,0.5664,0.4833999999999999,0.4505999999999999,0.4255,0.3682,0.5385,0.5833999999999999,3.9,4.6,2.7,3.8,1.4,2.0,8.2,7.6,112.96,121.64,3.64,4.757,26.33333333333333,35.333333333333336,58.0,100.7,0.5541166666666667,27.24720042254385,28.47184583773384
3669,22300572,1610612749,MIL,1610612739,CLE,2023-24,22,32,2024-01-17,54,31.1,20.5,30.8,21.0,23.0,22.5,102.0,100.8,31.1,23.5,33.1,24.5,0.6115999999999999,0.5759000000000001,0.5054,0.4556,0.4727,0.3437,0.6424,0.7920999999999999,4.5,4.2,3.0,3.7,1.4,3.1,9.0,9.8,121.64,112.96,3.25,1.916,35.333333333333336,26.33333333333333,57.333333333333336,100.1,0.5576666666666666,29.288616933729177,28.130524867618213
3670,22300569,1610612750,MIN,1610612765,DET,2023-24,39,40,2024-01-17,79,30.8,25.5,27.3,19.0,21.3,22.6,95.8,98.4,24.3,15.5,27.0,16.5,0.6508,0.6277,0.5561,0.4148,0.4692,0.3361,0.7572,0.7768999999999999,5.3,6.4,3.3,3.0,2.0,2.3,9.2,9.1,127.73999999999998,106.15,2.564,2.332,30.666666666666668,31.33333333333333,66.0,100.1,0.5523166666666667,28.017846079824505,28.848226487144604
3671,22300573,1610612752,NYK,1610612745,HOU,2023-24,23,25,2024-01-17,48,28.6,23.5,31.6,21.0,23.8,22.2,98.4,95.8,28.0,20.5,29.7,24.0,0.5382,0.4928,0.4443999999999999,0.4904,0.3988,0.3913999999999999,0.8,0.8496,4.1,5.6,3.7,3.0,3.5,3.0,8.7,7.3,116.92,113.79,2.779,2.717,25.0,24.0,65.5,101.06666666666666,0.5391666666666667,27.750682257267847,29.182747839611256
3672,22300570,1610612737,ATL,1610612753,ORL,2023-24,26,26,2024-01-17,52,29.6,20.5,24.3,14.5,23.6,22.5,105.4,96.6,28.7,19.5,28.1,21.0,0.4928,0.5382,0.4291,0.497,0.3308,0.3544,0.6938000000000001,0.5913999999999999,6.4,5.3,2.4,2.8,4.0,1.6,9.6,8.7,112.05,113.17,3.667,2.608,30.0,22.0,63.0,101.3,0.52945,31.9384313167896,29.365269734009665
3673,22300575,1610612766,CHA,1610612740,NOP,2023-24,36,43,2024-01-17,79,24.4,17.0,32.0,26.5,23.5,22.2,100.2,98.2,26.9,22.0,27.6,19.0,0.4825,0.5513,0.4148,0.5561,0.3682,0.4255,0.3924999999999999,0.7695000000000001,3.3,5.3,3.3,2.0,3.0,3.5,9.1,8.9,97.34,119.86,2.21,1.983,22.0,30.0,53.66666666666666,100.9,0.5854666666666667,25.07731223357068,28.506334582941204
3674,22300583,1610612754,IND,1610612758,SAC,2023-24,34,31,2024-01-18,65,28.9,20.0,29.0,22.0,22.3,22.5,103.0,96.4,28.9,22.5,25.7,15.5,0.6013,0.5221,0.5337000000000001,0.4298999999999999,0.4391999999999999,0.3332,0.575,0.78,2.6,4.8,3.9,3.6,2.3,2.3,8.6,9.0,113.03,102.59,2.673,2.8340000000000005,29.33333333333333,24.0,54.0,102.03333333333332,0.5389333333333333,31.919061085523253,28.28968482833168
3675,22300579,1610612752,NYK,1610612764,WAS,2023-24,22,22,2024-01-18,44,28.0,23.0,31.0,25.5,23.0,23.3,98.2,101.8,27.9,20.5,30.1,24.0,0.5288999999999999,0.5346,0.4298999999999999,0.5337000000000001,0.4088,0.3276,0.78,0.575,4.2,5.5,3.7,3.8,3.5,1.9,8.9,9.8,114.9,124.42,2.7190000000000003,4.79,24.0,29.33333333333333,59.333333333333336,100.03333333333332,0.5093,27.77883696805189,28.39376247639497
3676,22300581,1610612760,OKC,1610612762,UTA,2023-24,39,27,2024-01-18,66,29.0,22.0,28.9,20.0,22.5,22.3,98.8,100.0,31.5,22.5,28.1,21.5,0.5646,0.4945,0.5025000000000001,0.4225,0.3332,0.4391999999999999,0.807,0.5788,4.8,2.6,3.2,3.6,2.5,2.3,7.7,8.5,118.17,123.1,2.925,4.989,26.33333333333333,32.333333333333336,55.333333333333336,101.06666666666666,0.5469666666666667,31.449633708077734,28.3169743367904
3677,22300583,1610612758,SAC,1610612754,IND,2023-24,31,34,2024-01-18,65,29.8,21.0,30.2,24.0,23.3,22.5,101.6,99.0,30.7,26.0,28.2,23.5,0.5792999999999999,0.5986999999999999,0.5004000000000001,0.5126,0.3736,0.4492000000000001,0.4524,0.7405,3.1,4.3,3.0,3.4,2.7,2.8,7.8,8.4,117.58,101.38,4.989,2.925,32.333333333333336,26.33333333333333,54.0,102.03333333333332,0.5389333333333333,29.781943617246352,28.730050688802084
