index,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST,TEAM_EFG,EFG_OPP,TEAM_FG,FG_OPP,TEAM_3P_PCT,3P_PCT_OPP,TEAM_FT_PCT,FT_PCT_OPP,TEAM_FTA,FTA_OPP,TEAM_TOV,TOV_OPP,TEAM_OREB,OREB_OPP,TEAM_DREB,DREB_OPP,TEAM_OFF_RATING,OFF_RATING_OPP
184,22201140,1610612741,CHI,1610612747,LAL,2022-23,20,31,2023-03-29,51,26.5,19.5,29.0,21.0,21.5,20.1,94.4,105.0,27.4,20.5,28.9,20.5,0.5442,0.5064,0.485,0.4542,0.4427999999999999,0.3096,0.8089000000000001,0.78,3.7,3.0,2.9,3.7,2.5,1.8,7.7,8.0,112.91000000000001,108.65
188,22201137,1610612745,HOU,1610612751,BKN,2022-23,25,30,2023-03-29,55,29.3,21.5,31.7,22.0,23.4,21.6,97.4,105.8,30.8,20.5,27.6,22.5,0.5556,0.5721,0.4996999999999999,0.4905,0.3021,0.3808,0.6673,0.8324999999999999,4.6,5.7,2.5,3.3,3.6,2.4,7.9,7.8,121.95,120.17999999999999
185,22201140,1610612747,LAL,1610612741,CHI,2022-23,31,20,2023-03-29,51,29.0,21.0,26.5,19.5,20.8,23.4,96.6,101.2,27.6,22.5,30.8,20.5,0.591,0.5125,0.5055000000000001,0.4584,0.3869,0.344,0.7470999999999999,0.6683999999999999,5.7,6.2,3.3,2.5,2.4,2.3,8.8,9.2,120.17999999999999,121.95
187,22201141,1610612746,LAC,1610612763,MEM,2022-23,29,30,2023-03-29,59,27.2,18.5,27.8,21.0,21.6,23.4,101.2,96.6,27.7,21.0,29.5,23.5,0.5362,0.5304,0.4811999999999999,0.5244,0.3519,0.3714,0.6523,0.605,5.6,4.8,3.8,3.3,2.3,1.7,9.8,7.8,107.60999999999999,108.0
183,22201143,1610612759,SAS,1610612762,UTA,2022-23,33,36,2023-03-29,69,28.3,17.5,31.7,26.5,23.9,23.1,105.0,94.4,31.3,26.5,31.5,23.0,0.5274,0.6267,0.4616,0.4362,0.3213999999999999,0.3562,0.6424000000000001,0.6567000000000001,4.6,5.3,2.8,2.1,2.3,2.4,9.0,11.0,108.0,107.60999999999999
179,22201136,1610612754,IND,1610612749,MIL,2022-23,30,34,2023-03-29,64,31.7,22.0,29.3,21.5,23.1,22.9,104.6,100.6,31.9,24.0,24.7,18.0,0.6265999999999999,0.5431999999999999,0.5536000000000001,0.533,0.4158,0.3609,0.6855,0.7646,4.3,5.3,3.8,3.7,2.3,1.6,8.8,8.9,121.46999999999998,112.07000000000001
175,22201145,1610612758,SAC,1610612757,POR,2022-23,19,20,2023-03-29,39,28.1,21.5,26.3,23.0,23.1,23.9,101.2,98.8,30.6,25.0,27.7,22.0,0.5603,0.6157999999999999,0.476,0.4443,0.3508,0.375,0.5583,0.8202,4.2,3.8,2.2,3.5,1.7,2.3,9.2,8.8,112.07000000000001,121.46999999999998
173,22201138,1610612752,NYK,1610612748,MIA,2022-23,19,23,2023-03-29,42,27.2,19.5,32.5,24.5,22.2,23.4,97.6,105.8,28.9,20.5,27.4,20.5,0.5064,0.5442,0.4411999999999999,0.4516,0.3028,0.2845,0.8281000000000001,0.8626999999999999,6.2,5.7,3.2,2.6,3.4,1.9,7.8,7.9,110.59,131.68
176,22201144,1610612750,MIN,1610612756,PHX,2022-23,24,25,2023-03-29,49,32.5,24.5,27.2,19.5,23.4,20.8,99.4,97.8,28.8,23.5,26.9,19.0,0.6143000000000001,0.5246999999999999,0.5233000000000001,0.4994,0.4614999999999999,0.3967,0.6567000000000001,0.6424000000000001,5.7,6.2,2.1,2.8,2.9,2.0,7.5,10.4,131.68,110.59
169,22201147,1610612740,NOP,1610612743,DEN,2022-23,21,17,2023-03-30,38,32.3,23.0,30.7,23.0,23.3,23.0,102.8,101.6,26.0,15.0,29.3,23.5,0.5958,0.6169,0.4962,0.5372,0.5467,0.3922,0.8634999999999999,0.6279,4.7,4.5,2.7,2.3,1.7,2.2,9.8,8.5,126.25999999999999,128.82999999999998
168,22201147,1610612743,DEN,1610612740,NOP,2022-23,17,21,2023-03-30,38,31.0,26.5,33.1,26.5,23.0,23.3,96.4,106.2,30.0,19.5,29.0,24.5,0.6111000000000001,0.5835999999999999,0.5408999999999999,0.484,0.3915,0.3567,0.8216999999999999,0.6828,3.7,3.9,2.3,2.7,2.7,2.0,7.3,10.8,128.82999999999998,126.25999999999999
167,22201146,1610612738,BOS,1610612749,MIL,2022-23,34,26,2023-03-30,60,30.7,23.0,32.3,23.0,23.7,24.4,101.6,102.8,29.3,23.5,26.0,15.0,0.5835999999999999,0.6111000000000001,0.484,0.5408999999999999,0.3922,0.5467,0.6279,0.8634999999999999,4.5,4.7,2.0,3.0,2.0,2.7,8.5,9.8,120.98000000000002,124.17
166,22201146,1610612749,MIL,1610612738,BOS,2022-23,26,34,2023-03-30,60,33.1,26.5,31.0,26.5,24.4,23.7,106.2,96.4,29.0,24.5,30.0,19.5,0.6169,0.5958,0.5372,0.4962,0.3567,0.3915,0.6828,0.8216999999999999,3.9,3.7,3.0,2.0,2.2,1.7,10.8,7.3,124.17,120.98000000000002
142,22201149,1610612754,IND,1610612760,OKC,2022-23,36,32,2023-03-31,68,30.9,22.0,26.9,19.0,23.7,21.4,105.2,101.8,32.6,24.0,31.4,23.5,0.6024999999999999,0.5807,0.5386,0.4298999999999999,0.3858,0.3599,0.6855,0.7184,4.1,4.9,3.5,2.2,2.5,4.3,8.7,8.2,117.96,108.50999999999999
162,22201159,1610612758,SAC,1610612757,POR,2022-23,36,27,2023-03-31,63,26.9,19.0,30.9,22.0,23.3,22.1,100.0,100.6,29.4,22.0,28.3,23.5,0.5475,0.5478,0.4634999999999999,0.4663,0.3376,0.4083,0.5599999999999999,0.7221,3.1,3.6,2.3,3.8,1.8,2.6,9.3,7.7,108.50999999999999,117.96
