index,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST
1819,22200319,1610612760,OKC,1610612759,SAS,2022-23,32,35,2022-11-30,67,29.2,21.5,31.1,24.5,23.4,22.4,104.8,103.4,33.7,23.5,29.5,25.0
1826,22200316,1610612752,NYK,1610612749,MIL,2022-23,20,22,2022-11-30,42,30.7,20.5,29.4,22.5,24.2,22.9,104.0,99.6,29.5,25.0,33.7,23.5
1814,22200315,1610612751,BKN,1610612764,WAS,2022-23,29,28,2022-11-30,57,28.5,22.5,33.8,26.5,21.9,22.7,100.0,101.2,27.2,21.0,33.4,28.0
1818,22200319,1610612759,SAS,1610612760,OKC,2022-23,35,32,2022-11-30,67,26.2,19.5,28.0,21.5,24.4,24.0,101.2,102.8,33.4,28.0,27.2,21.0
1810,22200325,1610612742,DAL,1610612765,DET,2022-23,36,36,2022-12-01,72,30.2,24.0,28.3,22.5,22.0,21.9,99.8,98.8,27.4,19.5,27.7,17.5
1811,22200325,1610612765,DET,1610612742,DAL,2022-23,36,36,2022-12-01,72,28.3,22.5,30.2,24.0,21.9,22.0,98.8,99.8,27.7,17.5,27.4,19.5
1789,22200335,1610612762,UTA,1610612754,IND,2022-23,35,24,2022-12-02,59,28.5,21.5,29.0,22.5,22.8,24.7,101.0,100.4,28.3,22.5,29.5,22.0
1803,22200331,1610612749,MIL,1610612747,LAL,2022-23,31,33,2022-12-02,64,29.7,23.0,23.6,15.0,22.8,22.6,101.0,102.2,29.5,22.0,28.3,22.5
1796,22200326,1610612764,WAS,1610612766,CHA,2022-23,31,36,2022-12-02,67,31.2,24.5,26.5,19.5,22.1,23.6,103.4,101.2,28.9,23.0,29.8,25.5
1788,22200335,1610612754,IND,1610612762,UTA,2022-23,24,35,2022-12-02,59,23.6,15.0,29.7,23.0,22.5,22.5,106.6,99.4,29.8,25.5,28.9,23.0
1792,22200327,1610612737,ATL,1610612743,DEN,2022-23,28,25,2022-12-02,53,29.7,21.0,28.7,22.5,23.4,22.6,105.0,101.0,29.7,23.0,28.1,23.5
1801,22200329,1610612751,BKN,1610612761,TOR,2022-23,41,17,2022-12-02,58,29.0,22.5,28.5,21.5,21.8,23.6,100.4,101.0,28.1,23.5,29.7,23.0
1793,22200327,1610612743,DEN,1610612737,ATL,2022-23,25,28,2022-12-02,53,32.0,25.0,31.3,22.0,22.6,22.8,99.4,106.6,27.5,20.5,31.6,24.0
1797,22200326,1610612766,CHA,1610612764,WAS,2022-23,36,31,2022-12-02,67,25.8,16.5,26.6,21.0,23.6,21.8,101.0,105.0,31.6,24.0,27.5,20.5
1809,22200334,1610612745,HOU,1610612756,PHX,2022-23,27,36,2022-12-02,63,29.4,23.0,31.3,25.0,21.4,24.8,101.2,103.4,31.3,16.0,26.0,18.5
1795,22200328,1610612738,BOS,1610612748,MIA,2022-23,27,27,2022-12-02,54,34.3,26.5,28.6,23.5,23.9,24.2,106.0,105.8,26.0,18.5,31.3,16.0
1805,22200336,1610612744,GSW,1610612741,CHI,2022-23,35,33,2022-12-02,68,33.6,20.0,28.0,22.0,22.6,23.4,106.2,102.6,28.5,21.0,29.0,17.5
1807,22200333,1610612740,NOP,1610612759,SAS,2022-23,26,24,2022-12-02,50,31.3,25.0,29.4,23.0,22.8,23.2,103.2,102.0,29.0,17.5,28.5,21.0
1798,22200332,1610612763,MEM,1610612755,PHI,2022-23,29,30,2022-12-02,59,31.3,22.0,32.0,25.0,24.7,22.8,104.0,101.2,27.9,24.0,31.5,26.5
1794,22200328,1610612748,MIA,1610612738,BOS,2022-23,27,27,2022-12-02,54,30.5,25.0,27.8,20.0,23.6,22.1,102.8,94.4,31.5,26.5,27.9,24.0
1790,22200330,1610612753,ORL,1610612739,CLE,2022-23,25,27,2022-12-02,52,28.6,23.5,34.3,26.5,22.2,21.0,102.6,106.2,29.0,22.5,32.8,28.0
1806,22200333,1610612759,SAS,1610612740,NOP,2022-23,24,26,2022-12-02,50,26.5,19.5,31.2,24.5,24.2,23.9,101.2,104.0,32.8,28.0,29.0,22.5
1808,22200334,1610612756,PHX,1610612745,HOU,2022-23,36,27,2022-12-02,63,28.7,22.5,29.7,21.0,24.8,21.4,101.4,100.4,28.9,22.0,28.8,22.5
1799,22200332,1610612755,PHI,1610612763,MEM,2022-23,30,29,2022-12-02,59,28.0,22.0,33.6,20.0,21.0,22.2,102.0,103.2,28.8,22.5,28.9,22.0
1804,22200336,1610612741,CHI,1610612744,GSW,2022-23,33,35,2022-12-02,68,26.6,21.0,25.8,16.5,22.5,22.5,102.2,101.0,29.7,22.5,30.8,23.5
1800,22200329,1610612761,TOR,1610612751,BKN,2022-23,17,41,2022-12-02,58,26.9,24.0,27.8,21.5,22.8,22.2,100.4,101.4,30.8,23.5,29.7,22.5
1791,22200330,1610612739,CLE,1610612753,ORL,2022-23,27,25,2022-12-02,52,27.8,20.0,30.5,25.0,22.2,22.8,94.4,102.8,26.0,17.5,27.2,20.5
1802,22200331,1610612747,LAL,1610612749,MIL,2022-23,33,31,2022-12-02,64,27.8,21.5,26.9,24.0,23.2,22.8,105.8,106.0,27.2,20.5,26.0,17.5
1782,22200341,1610612760,OKC,1610612750,MIN,2022-23,32,29,2022-12-03,61,29.5,21.5,26.0,21.5,24.4,22.4,103.8,103.2,34.8,26.5,32.0,16.0
1778,22200342,1610612745,HOU,1610612744,GSW,2022-23,23,39,2022-12-03,62,28.4,23.0,29.0,21.5,21.6,22.2,102.0,106.2,32.0,16.0,34.8,26.5
1781,22200338,1610612758,SAC,1610612746,LAC,2022-23,38,24,2022-12-03,62,29.5,22.5,30.4,24.0,24.1,22.6,106.2,96.8,30.6,21.5,32.2,25.0
1785,22200339,1610612766,CHA,1610612749,MIL,2022-23,24,30,2022-12-03,54,26.4,16.5,27.6,15.0,24.0,23.2,101.6,102.0,32.2,25.0,30.6,21.5
1776,22200340,1610612753,ORL,1610612761,TOR,2022-23,22,36,2022-12-03,58,28.1,23.5,30.1,23.0,21.8,22.5,102.0,101.6,29.4,22.5,28.2,19.5
1775,22200337,1610612742,DAL,1610612752,NYK,2022-23,20,32,2022-12-03,52,30.4,24.0,29.5,22.5,21.7,23.1,98.8,98.2,28.2,19.5,29.4,22.5
1777,22200340,1610612761,TOR,1610612753,ORL,2022-23,36,22,2022-12-03,58,25.7,20.5,29.7,19.5,22.4,24.4,101.8,101.6,31.2,23.5,30.1,22.0
