GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,OPP_PTS_QTR1
22200037,1610612747,LAL,1610612757,POR,2022-23,32,24
22200038,1610612737,ATL,1610612766,CHA,2022-23,30,22
22200039,1610612739,CLE,1610612764,WAS,2022-23,30,31
22200040,1610612740,NOP,1610612762,UTA,2022-23,26,24
22200041,1610612750,MIN,1610612760,OKC,2022-23,18,31
22200042,1610612758,SAC,1610612744,GSW,2022-23,39,36
22200043,1610612756,PHX,1610612746,LAC,2022-23,33,18
22200044,1610612755,PHI,1610612754,IND,2022-23,33,23
22200045,1610612761,TOR,1610612748,MIA,2022-23,23,27
22200046,1610612753,ORL,1610612752,NYK,2022-23,28,34
22200047,1610612738,BOS,1610612741,CHI,2022-23,39,30
22200048,1610612762,UTA,1610612745,HOU,2022-23,21,18
22200049,1610612751,BKN,1610612763,MEM,2022-23,39,34
22200050,1610612759,SAS,1610612750,MIN,2022-23,28,39
22200051,1610612743,DEN,1610612757,POR,2022-23,23,31
22200052,1610612765,DET,1610612764,WAS,2022-23,25,28
22200053,1610612740,NOP,1610612742,DAL,2022-23,40,31
22200054,1610612746,LAC,1610612760,OKC,2022-23,18,23
22200055,1610612744,GSW,1610612756,PHX,2022-23,37,29
22200056,1610612753,ORL,1610612739,CLE,2022-23,30,24
22200057,1610612765,DET,1610612737,ATL,2022-23,36,32
22200058,1610612766,CHA,1610612752,NYK,2022-23,30,32
22200059,1610612755,PHI,1610612761,TOR,2022-23,27,35
22200060,1610612749,MIL,1610612751,BKN,2022-23,20,25
22200061,1610612754,IND,1610612741,CHI,2022-23,27,38
22200062,1610612750,MIN,1610612759,SAS,2022-23,39,28
22200063,1610612745,HOU,1610612762,UTA,2022-23,22,21
22200064,1610612743,DEN,1610612747,LAL,2022-23,22,26
22200065,1610612757,POR,1610612748,MIA,2022-23,31,28
22200066,1610612742,DAL,1610612751,BKN,2022-23,30,23
22200067,1610612746,LAC,1610612760,OKC,2022-23,24,34
22200068,1610612744,GSW,1610612748,MIA,2022-23,31,30
22200069,1610612763,MEM,1610612758,SAC,2022-23,32,28
22200070,1610612765,DET,1610612737,ATL,2022-23,35,29
22200071,1610612766,CHA,1610612753,ORL,2022-23,19,22
22200072,1610612738,BOS,1610612739,CLE,2022-23,33,34
22200073,1610612761,TOR,1610612755,PHI,2022-23,28,26
22200074,1610612754,IND,1610612764,WAS,2022-23,28,36
22200075,1610612752,NYK,1610612749,MIL,2022-23,26,24
22200076,1610612750,MIN,1610612747,LAL,2022-23,28,25
22200077,1610612741,CHI,1610612759,SAS,2022-23,29,36
22200078,1610612743,DEN,1610612762,UTA,2022-23,25,35
22200079,1610612756,PHX,1610612740,NOP,2022-23,21,27
22200080,1610612757,POR,1610612745,HOU,2022-23,32,23
22200081,1610612758,SAC,1610612748,MIA,2022-23,23,32
22200082,1610612766,CHA,1610612744,GSW,2022-23,34,23
22200083,1610612751,BKN,1610612754,IND,2022-23,26,26
22200084,1610612741,CHI,1610612755,PHI,2022-23,37,22
22200085,1610612749,MIL,1610612737,ATL,2022-23,30,32
22200086,1610612760,OKC,1610612742,DAL,2022-23,27,25
22200087,1610612763,MEM,1610612762,UTA,2022-23,24,30
22200088,1610612746,LAC,1610612740,NOP,2022-23,25,18
22200089,1610612738,BOS,1610612764,WAS,2022-23,15,34
22200090,1610612739,CLE,1610612752,NYK,2022-23,30,35
22200091,1610612744,GSW,1610612765,DET,2022-23,29,37
22200092,1610612759,SAS,1610612750,MIN,2022-23,23,26
22200093,1610612753,ORL,1610612742,DAL,2022-23,29,34
22200094,1610612745,HOU,1610612756,PHX,2022-23,29,24
22200095,1610612747,LAL,1610612743,DEN,2022-23,31,26
