index,GAME_ID,TEAM_ID,OPPONENT_TEAM_ID,EFG_PCT,EFG_PCT_OPP,PACE,PACE_OPP,AST_TOV,AST_TOV_OPP,DEF_RATING,DEF_RATING_OPP,OFF_RATING,OFF_RATING_OPP
4467,0022300050,1610612750,1610612758,0.639,0.731,100.0,100.0,2.67,3.0,152.0,124.0,124.0,152.0
4466,0022300050,1610612758,1610612750,0.731,0.639,100.0,100.0,3.0,2.67,124.0,152.0,152.0,124.0
4462,0022300051,1610612759,1610612744,0.574,0.625,108.0,108.0,5.0,2.75,118.5,129.6,129.6,118.5
4463,0022300051,1610612744,1610612759,0.625,0.574,108.0,108.0,2.75,5.0,129.6,118.5,118.5,129.6
4468,0022300052,1610612740,1610612746,0.667,0.478,92.0,92.0,0.0,6.0,100.0,156.5,156.5,100.0
4469,0022300052,1610612746,1610612740,0.478,0.667,92.0,92.0,6.0,0.0,156.5,100.0,100.0,156.5
4406,0022300053,1610612741,1610612738,0.385,0.714,86.0,86.0,0.0,3.0,147.6,90.9,90.9,147.6
4407,0022300053,1610612738,1610612741,0.714,0.385,86.0,86.0,3.0,0.0,90.9,147.6,147.6,90.9
4408,0022300054,1610612761,1610612751,0.365,0.42,96.0,96.0,6.0,8.0,91.7,87.5,87.5,91.7
4409,0022300054,1610612751,1610612761,0.42,0.365,96.0,96.0,8.0,6.0,87.5,91.7,91.7,87.5
4418,0022300055,1610612739,1610612737,0.587,0.538,112.0,112.0,1.4,2.5,117.9,103.6,103.6,117.9
4419,0022300055,1610612737,1610612739,0.538,0.587,112.0,112.0,2.5,1.4,103.6,117.9,117.9,103.6
4414,0022300056,1610612749,1610612748,0.483,0.37,108.0,108.0,8.0,3.5,81.5,114.8,114.8,81.5
4415,0022300056,1610612748,1610612749,0.37,0.483,108.0,108.0,3.5,8.0,114.8,81.5,81.5,114.8
4413,0022300057,1610612766,1610612752,0.381,0.579,102.0,102.0,1.0,1.5,111.5,64.0,64.0,111.5
4412,0022300057,1610612752,1610612766,0.579,0.381,102.0,102.0,1.5,1.0,64.0,111.5,111.5,64.0
4421,0022300058,1610612750,1610612760,0.26,0.614,104.0,104.0,0.4,2.33,111.5,73.1,73.1,111.5
4420,0022300058,1610612760,1610612750,0.614,0.26,104.0,104.0,2.33,0.4,73.1,111.5,111.5,73.1
4416,0022300059,1610612745,1610612742,0.477,0.52,94.0,94.0,2.5,8.0,120.8,95.7,95.7,120.8
4417,0022300059,1610612742,1610612745,0.52,0.477,94.0,94.0,8.0,2.5,95.7,120.8,120.8,95.7
4411,0022300060,1610612744,1610612758,0.6,0.571,104.0,104.0,1.5,1.33,111.5,142.3,142.3,111.5
4410,0022300060,1610612758,1610612744,0.571,0.6,104.0,104.0,1.33,1.5,142.3,111.5,111.5,142.3
4919,0022300061,1610612743,1610612747,0.696,0.36,102.0,102.0,2.25,1.0,76.9,136.0,136.0,76.9
4918,0022300061,1610612747,1610612743,0.36,0.696,102.0,102.0,1.0,2.25,136.0,76.9,76.9,136.0
4916,0022300062,1610612756,1610612744,0.526,0.435,112.0,112.0,0.71,2.0,100.0,100.0,100.0,100.0
4917,0022300062,1610612744,1610612756,0.435,0.526,112.0,112.0,2.0,0.71,100.0,100.0,100.0,100.0
4896,0022300063,1610612766,1610612737,0.548,0.52,112.0,112.0,1.29,1.25,103.6,89.3,89.3,103.6
4897,0022300063,1610612737,1610612766,0.52,0.548,112.0,112.0,1.25,1.29,89.3,103.6,103.6,89.3
4903,0022300064,1610612754,1610612764,0.696,0.704,110.0,110.0,1.6,6.0,144.4,121.4,121.4,144.4
4902,0022300064,1610612764,1610612754,0.704,0.696,110.0,110.0,6.0,1.6,121.4,144.4,144.4,121.4
4893,0022300065,1610612738,1610612752,0.667,0.308,96.0,96.0,1.67,3.0,75.0,125.0,125.0,75.0
4892,0022300065,1610612752,1610612738,0.308,0.667,96.0,96.0,3.0,1.67,125.0,75.0,75.0,125.0
4915,0022300066,1610612745,1610612753,0.5,0.543,98.0,98.0,0.86,1.4,116.0,83.3,83.3,116.0
