index,GAME_ID,PTS_QTR1,OPP_PTS_QTR1
1848,0022200308,32,29
1839,0022200309,40,32
1838,0022200309,32,40
1843,0022200310,36,24
1842,0022200310,24,36
1841,0022200311,30,25
1840,0022200311,25,30
1814,0022200312,25,21
1815,0022200312,21,25
1819,0022200313,27,38
1818,0022200313,38,27
1812,0022200314,38,35
1813,0022200314,35,38
1828,0022200315,29,28
1829,0022200315,28,29
1816,0022200316,20,22
1817,0022200316,22,20
1824,0022200317,27,26
1825,0022200317,26,27
1837,0022200318,29,40
1836,0022200318,40,29
1827,0022200319,32,35
1826,0022200319,35,32
1832,0022200320,44,24
1833,0022200320,24,44
1834,0022200321,25,32
1835,0022200321,32,25
1831,0022200322,35,26
1830,0022200322,26,35
1822,0022200323,33,20
1823,0022200323,20,33
1820,0022200324,22,24
1821,0022200324,24,22
1810,0022200325,36,36
1804,0022200326,31,36
1805,0022200326,36,31
1792,0022200327,28,25
1793,0022200327,25,28
1788,0022200328,27,27
1794,0022200329,17,41
1795,0022200329,41,17
1801,0022200330,27,25
1800,0022200330,25,27
1797,0022200331,31,33
1796,0022200331,33,31
1803,0022200332,30,29
1802,0022200332,29,30
1791,0022200333,26,24
1790,0022200333,24,26
1798,0022200334,36,27
1799,0022200334,27,36
1809,0022200335,35,24
1808,0022200335,24,35
1806,0022200336,33,35
1807,0022200336,35,33
1780,0022200337,32,20
1781,0022200337,20,32
1779,0022200338,38,24
1778,0022200338,24,38
1785,0022200339,24,30
1784,0022200339,30,24
1783,0022200340,36,22
1782,0022200340,22,36
1786,0022200341,32,29
1787,0022200341,29,32
1776,0022200342,23,39
1777,0022200342,39,23
1775,0022200343,31,40
1774,0022200343,40,31
1773,0022200344,31,27
1772,0022200344,27,31
1762,0022200345,30,35
1763,0022200345,35,30
1769,0022200346,35,27
1768,0022200346,27,35
1758,0022200347,40,26
1759,0022200347,26,40
1766,0022200348,23,16
1767,0022200348,16,23
1765,0022200349,27,33
1764,0022200349,33,27
1761,0022200350,27,29
1760,0022200350,29,27
1770,0022200351,24,28
1771,0022200351,28,24
1756,0022200352,26,28
1757,0022200352,28,26
1750,0022200353,30,21
1751,0022200353,21,30
1746,0022200354,29,27
1747,0022200354,27,29
1755,0022200355,27,25
1754,0022200355,25,27
1748,0022200356,30,27
1749,0022200356,27,30
1743,0022200357,27,32
1742,0022200357,32,27
1753,0022200358,15,33
1752,0022200358,33,15
1745,0022200359,21,34
1744,0022200359,34,21
1738,0022200360,27,26
1739,0022200360,26,27
1736,0022200361,20,25
1737,0022200361,25,20
1740,0022200362,29,36
1741,0022200362,36,29
1714,0022200363,14,32
1715,0022200363,32,14
1725,0022200364,38,28
1724,0022200364,28,38
1727,0022200365,20,31
1726,0022200365,31,20
1723,0022200366,31,39
1722,0022200366,39,31
1721,0022200367,29,22
1720,0022200367,22,29
1718,0022200368,27,25
1719,0022200368,25,27
1717,0022200369,34,29
1716,0022200369,29,34
1735,0022200370,17,35
1734,0022200370,35,17
1731,0022200371,28,27
1730,0022200371,27,28
1728,0022200372,35,30
1729,0022200372,30,35
1732,0022200373,31,21
1733,0022200373,21,31
1709,0022200374,20,28
1708,0022200374,28,20
1713,0022200375,29,24
1712,0022200375,24,29
1711,0022200376,30,36
1710,0022200376,36,30
1688,0022200377,20,22
1689,0022200377,22,20
1704,0022200378,33,31
1705,0022200378,31,33
1690,0022200379,37,25
1691,0022200379,25,37
1703,0022200380,30,36
1702,0022200380,36,30
1693,0022200381,31,20
1692,0022200381,20,31
1694,0022200382,31,20
1695,0022200382,20,31
1701,0022200383,34,27
1700,0022200383,27,34
1697,0022200384,26,27
1696,0022200384,27,26
1706,0022200385,24,28
1707,0022200385,28,24
1698,0022200386,33,32
1699,0022200386,32,33
1678,0022200387,29,25
1679,0022200387,25,29
1682,0022200388,40,38
1683,0022200388,38,40
1681,0022200389,29,28
1680,0022200389,28,29
1677,0022200390,28,22
1676,0022200390,22,28
1675,0022200391,40,30
1674,0022200391,30,40
1673,0022200392,25,33
1672,0022200392,33,25
1685,0022200393,28,26
1684,0022200393,26,28
1686,0022200394,27,32
1687,0022200394,32,27
1668,0022200395,36,29
1669,0022200395,29,36
1659,0022200396,32,26
1658,0022200396,26,32
1665,0022200397,36,22
1664,0022200397,22,36
1671,0022200398,18,19
1670,0022200398,19,18
1663,0022200399,21,20
1662,0022200399,20,21
1667,0022200400,22,27
1666,0022200400,27,22
1660,0022200401,19,25
1661,0022200401,25,19
1646,0022200402,19,26
1647,0022200402,26,19
1650,0022200403,25,29
1651,0022200403,29,25
1657,0022200404,29,35
1656,0022200404,35,29
1653,0022200405,28,23
1652,0022200405,23,28
1655,0022200406,27,29
1654,0022200406,29,27
1649,0022200407,27,33
1648,0022200407,33,27
1645,0022200408,25,29
1644,0022200408,29,25
1640,0022200409,39,32
1641,0022200409,32,39
1634,0022200410,38,27
1635,0022200410,27,38
1637,0022200411,20,27
1636,0022200411,27,20
1643,0022200412,30,29
1642,0022200412,29,30
1639,0022200413,37,24
1638,0022200413,24,37
1622,0022200414,35,33
1623,0022200414,33,35
