GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST,TEAM_EFG,EFG_OPP,TEAM_FG,FG_OPP,TEAM_3P_PCT,3P_PCT_OPP,TEAM_FT_PCT,FT_PCT_OPP,TEAM_FTA,FTA_OPP,TEAM_TOV,TOV_OPP,TEAM_OREB,OREB_OPP,TEAM_DREB,DREB_OPP,TEAM_OFF_RATING,OFF_RATING_OPP,TEAM_AST_TOV,AST_TOV_OPP,TEAM_LAST_3,LAST_3_OPP,LAST_3_H2H,LAST_3_PACE_H2H
22200009,1610612752,NYK,1610612763,MEM,2022-23,23,25,48,23.0,23.0,25.0,25.0,25.0,28.0,100.0,100.0,25.0,25.0,23.0,23.0,0.44,0.357,0.36,0.286,0.4,0.308,0.5,0.833,2.0,6.0,3.0,2.0,2.0,6.0,10.0,13.0,92.0,100.0,2.0,3.0,23.0,25.0,53.333333333333336,102.06666666666666
22200009,1610612763,MEM,1610612752,NYK,2022-23,25,23,48,25.0,25.0,23.0,23.0,28.0,25.0,100.0,100.0,23.0,23.0,25.0,25.0,0.357,0.44,0.286,0.36,0.308,0.4,0.833,0.5,6.0,2.0,2.0,3.0,6.0,2.0,13.0,10.0,100.0,92.0,3.0,2.0,25.0,23.0,53.333333333333336,102.06666666666666
22200010,1610612750,MIN,1610612760,OKC,2022-23,35,22,57,35.0,35.0,22.0,22.0,24.0,28.0,108.0,108.0,22.0,22.0,35.0,35.0,0.604,0.357,0.542,0.321,0.333,0.167,1.0,0.667,6.0,3.0,4.0,5.0,3.0,6.0,11.0,8.0,129.6,81.5,2.5,1.0,35.0,22.0,56.0,108.0
22200010,1610612760,OKC,1610612750,MIN,2022-23,22,35,57,22.0,22.0,35.0,35.0,28.0,24.0,108.0,108.0,35.0,35.0,22.0,22.0,0.357,0.604,0.321,0.542,0.167,0.333,0.667,1.0,3.0,6.0,5.0,4.0,6.0,3.0,8.0,11.0,81.5,129.6,1.0,2.5,22.0,35.0,56.0,108.0
22200011,1610612759,SAS,1610612766,CHA,2022-23,22,38,60,22.0,22.0,38.0,38.0,23.0,29.0,110.0,110.0,38.0,38.0,22.0,22.0,0.435,0.586,0.391,0.552,0.182,0.667,0.5,0.667,4.0,6.0,7.0,1.0,4.0,5.0,9.0,7.0,81.5,135.7,0.43,8.0,22.0,38.0,60.0,105.8
22200011,1610612766,CHA,1610612759,SAS,2022-23,38,22,60,38.0,38.0,22.0,22.0,29.0,23.0,110.0,110.0,22.0,22.0,38.0,38.0,0.586,0.435,0.552,0.391,0.667,0.182,0.667,0.5,6.0,4.0,1.0,7.0,5.0,4.0,7.0,9.0,135.7,81.5,8.0,0.43,38.0,22.0,60.0,105.8
22200012,1610612743,DEN,1610612762,UTA,2022-23,30,37,67,30.0,30.0,37.0,37.0,22.0,26.0,112.0,112.0,37.0,37.0,30.0,30.0,0.568,0.692,0.545,0.577,0.167,0.462,0.833,0.5,6.0,2.0,3.0,6.0,0.0,3.0,5.0,10.0,107.1,132.1,2.0,1.5,30.0,37.0,55.0,107.3
22200012,1610612762,UTA,1610612743,DEN,2022-23,37,30,67,37.0,37.0,30.0,30.0,26.0,22.0,112.0,112.0,30.0,30.0,37.0,37.0,0.692,0.568,0.577,0.545,0.462,0.167,0.5,0.833,2.0,6.0,6.0,3.0,3.0,0.0,10.0,5.0,132.1,107.1,1.5,2.0,37.0,30.0,55.0,107.3
22200013,1610612742,DAL,1610612756,PHX,2022-23,32,24,56,32.0,32.0,24.0,24.0,20.0,24.0,100.0,100.0,24.0,24.0,32.0,32.0,0.7,0.458,0.6,0.458,0.444,0.0,0.571,0.667,7.0,3.0,2.0,3.0,0.0,3.0,10.0,7.0,128.0,96.0,2.0,1.33,32.0,24.0,56.0,99.56666666666666
22200013,1610612756,PHX,1610612742,DAL,2022-23,24,32,56,24.0,24.0,32.0,32.0,24.0,20.0,100.0,100.0,32.0,32.0,24.0,24.0,0.458,0.7,0.458,0.6,0.0,0.444,0.667,0.571,3.0,7.0,3.0,2.0,3.0,0.0,7.0,10.0,96.0,128.0,1.33,2.0,24.0,32.0,56.0,99.56666666666666
